2.150449e-02,	2.275355e-04,	4.443022e-01,	1.075224e-02,	1.137678e-04,	2.221511e-01,	-8.758397e-01,	6.637832e-01,	-1.201167e-01,	
2.134735e-02,	2.026978e-04,	4.443021e-01,	1.067368e-02,	1.013489e-04,	2.221510e-01,	5.483945e-01,	-1.637932e+00,	2.665229e-01,	
2.124182e-02,	1.784409e-04,	4.442972e-01,	1.062091e-02,	8.922046e-05,	2.221486e-01,	-2.261378e+00,	3.477815e-01,	-6.741780e-01,	
2.107546e-02,	1.442849e-04,	4.442852e-01,	1.053773e-02,	7.214245e-05,	2.221426e-01,	-5.236114e-01,	6.096750e-01,	1.085593e-01,	
2.097522e-02,	1.446223e-04,	4.442872e-01,	1.048761e-02,	7.231115e-05,	2.221436e-01,	-4.743893e-02,	-8.081684e-01,	-7.739281e-02,	
2.086571e-02,	1.035440e-04,	4.442833e-01,	1.043286e-02,	5.177198e-05,	2.221416e-01,	-1.091432e+00,	6.829677e-01,	6.184509e-02,	
2.065116e-02,	6.077619e-05,	4.442832e-01,	1.032558e-02,	3.038809e-05,	2.221416e-01,	-1.518967e-01,	7.218012e-01,	-5.416156e-03,	
2.060169e-02,	4.354630e-05,	4.442802e-01,	1.030084e-02,	2.177315e-05,	2.221401e-01,	-6.174549e+00,	-2.058935e-01,	-3.727098e-01,	
2.042230e-02,	8.135910e-06,	4.442764e-01,	1.021115e-02,	4.067955e-06,	2.221382e-01,	-2.673800e+00,	-1.842266e+00,	-3.239139e-01,	
2.023596e-02,	-4.458144e-05,	4.442769e-01,	1.011798e-02,	-2.229072e-05,	2.221385e-01,	-1.598558e+00,	-2.603466e-01,	-5.054488e-01,	
2.012612e-02,	-3.135553e-05,	4.442811e-01,	1.006306e-02,	-1.567777e-05,	2.221405e-01,	-5.361191e+00,	-1.711528e+00,	-1.086260e+00,	
1.988196e-02,	-9.841952e-05,	4.442649e-01,	9.940981e-03,	-4.920976e-05,	2.221325e-01,	2.241387e-01,	8.310282e-01,	-1.151876e-01,	
1.971274e-02,	-1.231807e-04,	4.442644e-01,	9.856370e-03,	-6.159034e-05,	2.221322e-01,	-4.197266e+00,	5.493066e-01,	-3.880220e-01,	
1.947239e-02,	-1.700742e-04,	4.442566e-01,	9.736195e-03,	-8.503709e-05,	2.221283e-01,	1.751933e+00,	1.578793e+00,	-5.823539e-02,	
1.934454e-02,	-2.277135e-04,	4.442518e-01,	9.672269e-03,	-1.138567e-04,	2.221259e-01,	-1.556898e+00,	-3.519868e-01,	-2.828538e-04,	
1.912496e-02,	-2.251314e-04,	4.442637e-01,	9.562482e-03,	-1.125657e-04,	2.221319e-01,	-1.347531e+00,	-5.228053e-01,	-1.683961e-01,	
1.892744e-02,	-2.658625e-04,	4.442634e-01,	9.463721e-03,	-1.329312e-04,	2.221317e-01,	8.864061e-01,	-1.760453e-01,	7.145254e-02,	
1.872279e-02,	-3.186018e-04,	4.442455e-01,	9.361395e-03,	-1.593009e-04,	2.221227e-01,	-1.374105e+00,	-1.126715e+00,	3.154777e-01,	
1.845407e-02,	-3.736569e-04,	4.442365e-01,	9.227035e-03,	-1.868284e-04,	2.221182e-01,	-1.782240e+00,	-1.110821e+00,	1.243017e-01,	
1.821134e-02,	-4.415807e-04,	4.442335e-01,	9.105671e-03,	-2.207904e-04,	2.221168e-01,	2.113907e+00,	-1.202200e+00,	2.912839e-02,	
1.807547e-02,	-4.913730e-04,	4.442267e-01,	9.037734e-03,	-2.456865e-04,	2.221134e-01,	-9.638242e-01,	-1.254440e-01,	5.644040e-02,	
1.781596e-02,	-5.259418e-04,	4.442198e-01,	8.907978e-03,	-2.629709e-04,	2.221099e-01,	2.414888e-01,	-1.519184e+00,	2.562047e-02,	
1.758058e-02,	-5.752269e-04,	4.442282e-01,	8.790289e-03,	-2.876135e-04,	2.221141e-01,	-3.143408e-01,	-1.630590e+00,	-4.469428e-01,	
1.734045e-02,	-6.227931e-04,	4.442284e-01,	8.670226e-03,	-3.113965e-04,	2.221142e-01,	-2.860919e+00,	3.303656e-01,	-3.460140e-01,	
1.706974e-02,	-6.390223e-04,	4.442176e-01,	8.534871e-03,	-3.195111e-04,	2.221088e-01,	-4.314157e-01,	-6.434341e-02,	5.122986e-01,	
1.674739e-02,	-7.233690e-04,	4.442131e-01,	8.373693e-03,	-3.616845e-04,	2.221065e-01,	2.687034e+00,	-4.620334e-01,	8.700019e-02,	
1.648984e-02,	-7.973966e-04,	4.442062e-01,	8.244920e-03,	-3.986983e-04,	2.221031e-01,	-8.871893e-02,	-1.440037e+00,	-5.387516e-01,	
1.627443e-02,	-8.576242e-04,	4.442049e-01,	8.137214e-03,	-4.288121e-04,	2.221025e-01,	-2.874718e+00,	-3.522947e-01,	-4.816576e-01,	
1.593681e-02,	-9.054515e-04,	4.442042e-01,	7.968407e-03,	-4.527257e-04,	2.221021e-01,	1.456496e+00,	-1.284844e+00,	2.989230e-01,	
1.568654e-02,	-9.410371e-04,	4.442015e-01,	7.843270e-03,	-4.705186e-04,	2.221007e-01,	1.651944e+00,	-5.306220e-01,	5.706057e-01,	
1.537005e-02,	-1.024109e-03,	4.442025e-01,	7.685027e-03,	-5.120544e-04,	2.221012e-01,	7.950998e-01,	8.987217e-01,	2.909026e-03,	
1.513112e-02,	-1.074542e-03,	4.442127e-01,	7.565561e-03,	-5.372711e-04,	2.221064e-01,	9.380135e-01,	1.032944e+00,	-1.960249e-01,	
1.493191e-02,	-1.080030e-03,	4.442141e-01,	7.465953e-03,	-5.400148e-04,	2.221071e-01,	-1.603022e-02,	5.369239e-02,	-3.748409e-04,	
1.456681e-02,	-1.154605e-03,	4.442019e-01,	7.283405e-03,	-5.773025e-04,	2.221009e-01,	-1.277986e+00,	-1.750837e-01,	-3.135473e-01,	
1.425107e-02,	-1.238912e-03,	4.441948e-01,	7.125534e-03,	-6.194561e-04,	2.220974e-01,	-3.333458e+00,	9.573950e-01,	-1.948383e-01,	
1.397619e-02,	-1.314921e-03,	4.441991e-01,	6.988095e-03,	-6.574604e-04,	2.220995e-01,	2.273329e+00,	1.248493e+00,	2.890169e-02,	
1.371789e-02,	-1.384813e-03,	4.441877e-01,	6.858943e-03,	-6.924065e-04,	2.220939e-01,	-1.193038e+00,	-1.992746e-01,	-2.721761e-01,	
1.343996e-02,	-1.373262e-03,	4.441823e-01,	6.719982e-03,	-6.866311e-04,	2.220912e-01,	-8.181359e-01,	4.274993e-01,	-1.465538e-01,	
1.327491e-02,	-1.385311e-03,	4.442021e-01,	6.637453e-03,	-6.926556e-04,	2.221011e-01,	-2.995997e+00,	7.460482e-01,	-2.453559e-01,	
1.292369e-02,	-1.447990e-03,	4.442062e-01,	6.461847e-03,	-7.239948e-04,	2.221031e-01,	-2.218191e-01,	1.305141e+00,	2.373501e-02,	
1.257492e-02,	-1.520975e-03,	4.442009e-01,	6.287458e-03,	-7.604877e-04,	2.221005e-01,	-4.526223e-01,	2.742084e+00,	2.729137e-02,	
1.235901e-02,	-1.531998e-03,	4.441962e-01,	6.179505e-03,	-7.659991e-04,	2.220981e-01,	-1.727758e+00,	1.085035e+00,	-5.079088e-02,	
1.208989e-02,	-1.575864e-03,	4.441907e-01,	6.044946e-03,	-7.879320e-04,	2.220954e-01,	-1.038129e+00,	4.305294e-01,	8.472769e-02,	
1.176562e-02,	-1.614749e-03,	4.441895e-01,	5.882812e-03,	-8.073743e-04,	2.220947e-01,	3.355313e+00,	-1.537104e+00,	6.034802e-02,	
1.152733e-02,	-1.649395e-03,	4.441885e-01,	5.763666e-03,	-8.246973e-04,	2.220942e-01,	7.024116e-02,	9.700390e-01,	1.656302e-01,	
1.122796e-02,	-1.631800e-03,	4.441890e-01,	5.613982e-03,	-8.159000e-04,	2.220945e-01,	-2.619261e-01,	-1.320527e+00,	4.898126e-01,	
1.091671e-02,	-1.578932e-03,	4.441907e-01,	5.458354e-03,	-7.894661e-04,	2.220954e-01,	-8.260344e-01,	-2.599060e+00,	-3.584924e-01,	
1.056809e-02,	-1.519304e-03,	4.441866e-01,	5.284044e-03,	-7.596522e-04,	2.220933e-01,	-1.438721e+00,	1.152343e+00,	-3.012753e-01,	
1.036344e-02,	-1.440418e-03,	4.441913e-01,	5.181720e-03,	-7.202090e-04,	2.220956e-01,	-2.409999e+00,	4.349454e-01,	-2.661772e-02,	
1.004958e-02,	-1.337368e-03,	4.441895e-01,	5.024792e-03,	-6.686841e-04,	2.220947e-01,	2.051163e+00,	-8.297316e-01,	-1.302734e-01,	
9.727622e-03,	-1.189657e-03,	4.441844e-01,	4.863811e-03,	-5.948287e-04,	2.220922e-01,	-4.467138e-01,	2.630398e+00,	3.760277e-02,	
9.499837e-03,	-1.079586e-03,	4.441820e-01,	4.749919e-03,	-5.397931e-04,	2.220910e-01,	-2.074498e+00,	6.043567e-01,	-1.721955e-03,	
9.230978e-03,	-9.587244e-04,	4.441791e-01,	4.615489e-03,	-4.793622e-04,	2.220896e-01,	-1.157118e-02,	1.789023e-01,	-1.855101e-02,	
8.892536e-03,	-6.820212e-04,	4.441766e-01,	4.446268e-03,	-3.410106e-04,	2.220883e-01,	-2.257836e-01,	1.437573e+00,	1.311443e-02,	
8.622894e-03,	-3.774038e-04,	4.441859e-01,	4.311447e-03,	-1.887019e-04,	2.220930e-01,	-1.413709e+00,	1.220217e+00,	-2.149872e-01,	
8.345612e-03,	5.062687e-06,	4.442001e-01,	4.172806e-03,	2.531343e-06,	2.221000e-01,	2.208030e+00,	-8.824280e-01,	1.293149e-01,	
8.055023e-03,	3.758702e-04,	4.442093e-01,	4.027512e-03,	1.879351e-04,	2.221046e-01,	2.674933e+00,	1.851991e+00,	4.544695e-01,	
7.874402e-03,	6.448644e-04,	4.442165e-01,	3.937201e-03,	3.224322e-04,	2.221082e-01,	-2.137515e+00,	3.243392e+00,	2.932842e-04,	
7.615601e-03,	1.085329e-03,	4.442165e-01,	3.807801e-03,	5.426647e-04,	2.221083e-01,	-1.625688e-01,	1.462656e+00,	2.596488e-02,	
7.272819e-03,	1.618067e-03,	4.442186e-01,	3.636410e-03,	8.090333e-04,	2.221093e-01,	1.068098e+00,	-6.479541e-02,	-6.939064e-02,	
6.965458e-03,	2.149176e-03,	4.442207e-01,	3.482729e-03,	1.074588e-03,	2.221103e-01,	-3.480903e-01,	2.366778e-01,	8.119333e-02,	
6.802589e-03,	2.575509e-03,	4.442195e-01,	3.401294e-03,	1.287754e-03,	2.221098e-01,	-1.216905e+00,	4.274874e+00,	9.652067e-02,	
6.637900e-03,	3.133038e-03,	4.442174e-01,	3.318950e-03,	1.566519e-03,	2.221087e-01,	1.303673e-01,	-4.993262e-01,	2.321710e-03,	
6.467073e-03,	3.659180e-03,	4.442265e-01,	3.233536e-03,	1.829590e-03,	2.221133e-01,	3.006353e+00,	-5.389569e+00,	2.991025e-01,	
6.375635e-03,	4.109229e-03,	4.442435e-01,	3.187817e-03,	2.054614e-03,	2.221217e-01,	-4.992253e-02,	1.029051e+00,	7.586127e-03,	
6.175517e-03,	4.859653e-03,	4.442437e-01,	3.087759e-03,	2.429827e-03,	2.221218e-01,	-6.394359e-01,	2.047155e+00,	1.083009e-01,	
5.983539e-03,	5.699063e-03,	4.442444e-01,	2.991770e-03,	2.849531e-03,	2.221222e-01,	6.991070e-01,	-1.995491e+00,	-1.089262e-01,	
5.833104e-03,	6.593501e-03,	4.442565e-01,	2.916552e-03,	3.296751e-03,	2.221283e-01,	8.616111e-01,	2.515390e-01,	4.104264e-01,	
5.778420e-03,	6.883570e-03,	4.442607e-01,	2.889210e-03,	3.441785e-03,	2.221304e-01,	-2.930076e-01,	-8.351313e+00,	-8.485947e-01,	
5.541378e-03,	7.997091e-03,	4.442799e-01,	2.770689e-03,	3.998546e-03,	2.221399e-01,	1.872588e-01,	-1.258795e+00,	3.731862e-01,	
5.509864e-03,	8.532191e-03,	4.442951e-01,	2.754932e-03,	4.266095e-03,	2.221476e-01,	9.297657e-02,	3.183622e+00,	-4.806509e-01,	
5.359774e-03,	1.002295e-02,	4.443175e-01,	2.679887e-03,	5.011474e-03,	2.221587e-01,	1.756126e+00,	-1.016466e+01,	-4.985321e-02,	
5.293591e-03,	1.074897e-02,	4.443298e-01,	2.646796e-03,	5.374487e-03,	2.221649e-01,	1.104858e+00,	-2.432568e+00,	-5.587895e-02,	
5.248310e-03,	1.139543e-02,	4.443396e-01,	2.624155e-03,	5.697716e-03,	2.221698e-01,	-7.236982e-01,	2.017801e+00,	6.889530e-02,	
5.062266e-03,	1.313498e-02,	4.443562e-01,	2.531133e-03,	6.567491e-03,	2.221781e-01,	1.028917e+00,	-1.029289e+01,	1.109770e-01,	
4.936797e-03,	1.396530e-02,	4.443629e-01,	2.468398e-03,	6.982652e-03,	2.221814e-01,	-7.120386e-01,	-4.287552e-01,	-3.271796e-01,	
4.845063e-03,	1.538715e-02,	4.443673e-01,	2.422532e-03,	7.693576e-03,	2.221836e-01,	2.859763e-01,	-5.676085e-01,	-3.212283e-01,	
4.861054e-03,	1.679163e-02,	4.443732e-01,	2.430527e-03,	8.395814e-03,	2.221866e-01,	-2.999228e+00,	3.192732e+00,	-1.768818e-01,	
4.802210e-03,	1.828576e-02,	4.443879e-01,	2.401105e-03,	9.142879e-03,	2.221940e-01,	-2.171815e+00,	6.126809e-01,	-2.555866e-01,	
4.746316e-03,	1.907663e-02,	4.443915e-01,	2.373158e-03,	9.538314e-03,	2.221958e-01,	8.430486e-01,	1.069365e+00,	-1.673652e-02,	
4.660939e-03,	2.033073e-02,	4.443993e-01,	2.330469e-03,	1.016536e-02,	2.221997e-01,	-7.762706e-01,	-1.323435e+01,	-5.846077e-01,	
4.651373e-03,	2.126558e-02,	4.444023e-01,	2.325686e-03,	1.063279e-02,	2.222011e-01,	2.352493e+00,	4.520176e-03,	3.108870e-01,	
4.661044e-03,	2.290759e-02,	4.444238e-01,	2.330522e-03,	1.145380e-02,	2.222119e-01,	6.460550e-01,	-1.374824e+00,	9.397763e-03,	
4.668581e-03,	2.419658e-02,	4.444387e-01,	2.334290e-03,	1.209829e-02,	2.222194e-01,	-1.877850e+00,	-1.413509e+01,	-5.385859e-01,	
4.641528e-03,	2.523404e-02,	4.444395e-01,	2.320764e-03,	1.261702e-02,	2.222198e-01,	3.852711e-01,	-1.626094e+00,	8.636970e-02,	
4.526764e-03,	2.774597e-02,	4.444786e-01,	2.263382e-03,	1.387299e-02,	2.222393e-01,	-6.892287e-01,	1.786083e+00,	1.791220e-02,	
4.540075e-03,	2.859472e-02,	4.444888e-01,	2.270038e-03,	1.429736e-02,	2.222444e-01,	8.291261e-01,	-1.660718e+00,	3.732970e-02,	
4.562750e-03,	3.000151e-02,	4.444995e-01,	2.281375e-03,	1.500076e-02,	2.222497e-01,	6.542474e-01,	-1.683557e+01,	-2.637642e-01,	
4.616399e-03,	3.103180e-02,	4.445045e-01,	2.308199e-03,	1.551590e-02,	2.222522e-01,	-6.269357e-02,	2.846840e-01,	-6.670325e-02,	
4.710662e-03,	3.277966e-02,	4.445367e-01,	2.355331e-03,	1.638983e-02,	2.222684e-01,	-7.877211e-01,	-9.317255e-01,	5.187154e-02,	
4.759021e-03,	3.443738e-02,	4.445729e-01,	2.379510e-03,	1.721869e-02,	2.222865e-01,	-2.228962e+00,	5.999607e-01,	-3.160995e-01,	
4.679882e-03,	3.546432e-02,	4.445726e-01,	2.339941e-03,	1.773216e-02,	2.222863e-01,	-6.058858e-01,	1.538447e+01,	5.270742e-01,	
4.576042e-03,	3.678326e-02,	4.445843e-01,	2.288021e-03,	1.839163e-02,	2.222922e-01,	-1.151144e+00,	1.938330e+00,	-4.850898e-01,	
4.500757e-03,	3.838287e-02,	4.445996e-01,	2.250378e-03,	1.919144e-02,	2.222998e-01,	1.574272e+00,	1.501372e+00,	-5.759771e-01,	
4.489821e-03,	4.055042e-02,	4.446231e-01,	2.244911e-03,	2.027521e-02,	2.223115e-01,	-3.860868e+00,	-1.395058e+01,	-8.979468e-01,	
4.477460e-03,	4.178351e-02,	4.446316e-01,	2.238730e-03,	2.089175e-02,	2.223158e-01,	-2.008098e+00,	1.161973e+01,	-1.914339e-01,	
4.469801e-03,	4.263540e-02,	4.446266e-01,	2.234901e-03,	2.131770e-02,	2.223133e-01,	-1.606813e+00,	2.648289e+01,	6.500004e-01,	
4.427498e-03,	4.457144e-02,	4.446575e-01,	2.213749e-03,	2.228572e-02,	2.223287e-01,	-3.799026e+00,	-3.443608e+00,	-2.476477e-01,	
4.369185e-03,	4.495847e-02,	4.446473e-01,	2.184592e-03,	2.247923e-02,	2.223236e-01,	2.602643e+00,	-1.198897e+01,	-2.481665e-01,	
4.236819e-03,	4.635449e-02,	4.446521e-01,	2.118409e-03,	2.317724e-02,	2.223261e-01,	-7.426357e-01,	-1.354581e+01,	-6.283416e-01,	
4.248532e-03,	4.744726e-02,	4.446737e-01,	2.124266e-03,	2.372363e-02,	2.223368e-01,	-2.274541e-01,	-5.257432e+00,	-1.219767e-01,	
4.017672e-03,	4.890529e-02,	4.446505e-01,	2.008836e-03,	2.445264e-02,	2.223253e-01,	-3.665567e+00,	-2.719135e+01,	-1.158784e+00,	
3.980230e-03,	5.001579e-02,	4.446634e-01,	1.990115e-03,	2.500789e-02,	2.223317e-01,	-1.383595e+00,	-3.646179e+00,	-4.525770e-01,	
3.937001e-03,	5.101254e-02,	4.446676e-01,	1.968501e-03,	2.550627e-02,	2.223338e-01,	2.394118e+00,	2.370605e+01,	7.914608e-01,	
3.973702e-03,	5.142654e-02,	4.446787e-01,	1.986851e-03,	2.571327e-02,	2.223394e-01,	-1.431994e+00,	-2.358464e+01,	-8.376487e-01,	
3.992868e-03,	5.246142e-02,	4.446864e-01,	1.996434e-03,	2.623071e-02,	2.223432e-01,	1.275694e+00,	-4.252114e+00,	2.495458e-01,	
3.864633e-03,	5.339188e-02,	4.446646e-01,	1.932317e-03,	2.669594e-02,	2.223323e-01,	3.715205e+00,	2.167302e+01,	1.500568e+00,	
3.716222e-03,	5.438930e-02,	4.446641e-01,	1.858111e-03,	2.719465e-02,	2.223320e-01,	-7.677142e-01,	1.157300e+01,	3.899118e-01,	
3.281363e-03,	5.514029e-02,	4.446797e-01,	1.640681e-03,	2.757014e-02,	2.223399e-01,	-4.874475e+00,	1.502026e+01,	-2.252333e-01,	
3.120630e-03,	5.552165e-02,	4.446641e-01,	1.560315e-03,	2.776082e-02,	2.223321e-01,	8.492374e-01,	-9.027217e+00,	-5.873903e-01,	
