0.000000e+00,	
2.000000e-02,	
3.000000e-02,	
5.000000e-02,	
7.000000e-02,	
9.000000e-02,	
1.100000e-01,	
1.300000e-01,	
1.400000e-01,	
1.600000e-01,	
1.800000e-01,	
1.900000e-01,	
2.100000e-01,	
2.200000e-01,	
2.400000e-01,	
2.600000e-01,	
2.800000e-01,	
2.900000e-01,	
3.100000e-01,	
3.200000e-01,	
3.400000e-01,	
3.600000e-01,	
3.800000e-01,	
3.900000e-01,	
4.100000e-01,	
4.300000e-01,	
4.500000e-01,	
4.600000e-01,	
4.800000e-01,	
4.900000e-01,	
5.100000e-01,	
5.300000e-01,	
5.500000e-01,	
5.600000e-01,	
5.800000e-01,	
6.000000e-01,	
6.200000e-01,	
6.300000e-01,	
6.500000e-01,	
6.600000e-01,	
6.800000e-01,	
7.000000e-01,	
7.200000e-01,	
7.300000e-01,	
7.500000e-01,	
7.600000e-01,	
7.800000e-01,	
8.000000e-01,	
8.200000e-01,	
8.300000e-01,	
8.500000e-01,	
8.700000e-01,	
8.800000e-01,	
9.000000e-01,	
9.200000e-01,	
9.400000e-01,	
9.600000e-01,	
9.700000e-01,	
9.900000e-01,	
1.010000e+00,	
1.030000e+00,	
1.040000e+00,	
1.060000e+00,	
1.070000e+00,	
1.090000e+00,	
1.110000e+00,	
1.130000e+00,	
1.140000e+00,	
1.160000e+00,	
1.170000e+00,	
1.190000e+00,	
1.210000e+00,	
1.230000e+00,	
1.240000e+00,	
1.260000e+00,	
1.280000e+00,	
1.290000e+00,	
1.310000e+00,	
1.330000e+00,	
1.350000e+00,	
1.370000e+00,	
1.390000e+00,	
1.400000e+00,	
1.420000e+00,	
1.440000e+00,	
1.450000e+00,	
1.470000e+00,	
1.490000e+00,	
1.500000e+00,	
1.520000e+00,	
1.540000e+00,	
1.560000e+00,	
1.580000e+00,	
1.590000e+00,	
1.610000e+00,	
1.630000e+00,	
1.650000e+00,	
1.660000e+00,	
1.680000e+00,	
1.690000e+00,	
1.710000e+00,	
1.730000e+00,	
1.750000e+00,	
1.770000e+00,	
1.780000e+00,	
1.800000e+00,	
1.820000e+00,	
1.840000e+00,	
1.850000e+00,	
1.870000e+00,	
1.890000e+00,	
1.900000e+00,	
1.920000e+00,	
1.940000e+00,	
1.960000e+00,	
1.970000e+00,	
1.990000e+00,	
2.010000e+00,	
2.030000e+00,	
2.050000e+00,	
2.060000e+00,	
2.070000e+00,	
2.100000e+00,	
2.110000e+00,	
2.130000e+00,	
2.150000e+00,	
2.180000e+00,	
2.190000e+00,	
2.210000e+00,	
2.230000e+00,	
2.250000e+00,	
2.260000e+00,	
2.270000e+00,	
2.300000e+00,	
2.310000e+00,	
2.330000e+00,	
2.350000e+00,	
2.370000e+00,	
2.380000e+00,	
2.390000e+00,	
2.420000e+00,	
2.430000e+00,	
2.460000e+00,	
2.470000e+00,	
2.490000e+00,	
2.510000e+00,	
2.530000e+00,	
2.540000e+00,	
2.550000e+00,	
2.580000e+00,	
2.590000e+00,	
2.610000e+00,	
2.630000e+00,	
2.650000e+00,	
2.660000e+00,	
2.670000e+00,	
2.690000e+00,	
2.710000e+00,	
2.730000e+00,	
2.750000e+00,	
2.770000e+00,	
2.780000e+00,	
2.790000e+00,	
2.810000e+00,	
2.830000e+00,	
2.850000e+00,	
2.860000e+00,	
2.870000e+00,	
2.900000e+00,	
2.910000e+00,	
2.930000e+00,	
2.950000e+00,	
2.980000e+00,	
2.990000e+00,	
3.010000e+00,	
3.030000e+00,	
3.050000e+00,	
3.060000e+00,	
3.070000e+00,	
3.100000e+00,	
3.110000e+00,	
3.140000e+00,	
3.150000e+00,	
3.170000e+00,	
3.190000e+00,	
3.210000e+00,	
3.220000e+00,	
3.230000e+00,	
3.250000e+00,	
3.270000e+00,	
3.290000e+00,	
3.300000e+00,	
3.310000e+00,	
3.340000e+00,	
3.350000e+00,	
3.370000e+00,	
3.390000e+00,	
3.410000e+00,	
3.420000e+00,	
3.430000e+00,	
3.460000e+00,	
3.470000e+00,	
3.490000e+00,	
3.510000e+00,	
3.540000e+00,	
3.550000e+00,	
3.580000e+00,	
3.590000e+00,	
3.610000e+00,	
3.630000e+00,	
3.650000e+00,	
3.660000e+00,	
3.670000e+00,	
3.700000e+00,	
3.710000e+00,	
3.730000e+00,	
3.750000e+00,	
3.770000e+00,	
3.790000e+00,	
3.820000e+00,	
3.830000e+00,	
3.850000e+00,	
3.870000e+00,	
3.890000e+00,	
3.900000e+00,	
3.910000e+00,	
3.940000e+00,	
3.950000e+00,	
3.970000e+00,	
3.990000e+00,	
4.010000e+00,	
4.020000e+00,	
4.040000e+00,	
4.060000e+00,	
4.070000e+00,	
4.090000e+00,	
4.100000e+00,	
4.130000e+00,	
4.140000e+00,	
4.160000e+00,	
4.170000e+00,	
4.190000e+00,	
4.200000e+00,	
4.220000e+00,	
4.240000e+00,	
4.260000e+00,	
4.270000e+00,	
4.290000e+00,	
4.310000e+00,	
4.320000e+00,	
4.340000e+00,	
4.360000e+00,	
4.380000e+00,	
4.390000e+00,	
4.410000e+00,	
4.420000e+00,	
4.440000e+00,	
4.460000e+00,	
4.470000e+00,	
4.490000e+00,	
4.510000e+00,	
4.520000e+00,	
4.540000e+00,	
4.560000e+00,	
4.570000e+00,	
4.590000e+00,	
4.610000e+00,	
4.620000e+00,	
4.640000e+00,	
4.660000e+00,	
4.670000e+00,	
4.690000e+00,	
4.700000e+00,	
4.720000e+00,	
4.740000e+00,	
4.760000e+00,	
4.770000e+00,	
4.790000e+00,	
4.810000e+00,	
4.830000e+00,	
4.840000e+00,	
4.860000e+00,	
4.870000e+00,	
4.890000e+00,	
4.910000e+00,	
4.930000e+00,	
4.940000e+00,	
4.960000e+00,	
4.970000e+00,	
4.990000e+00,	
5.010000e+00,	
5.020000e+00,	
5.040000e+00,	
5.050000e+00,	
5.070000e+00,	
5.090000e+00,	
5.110000e+00,	
5.120000e+00,	
5.140000e+00,	
5.160000e+00,	
5.170000e+00,	
5.190000e+00,	
5.210000e+00,	
5.230000e+00,	
5.240000e+00,	
5.260000e+00,	
5.280000e+00,	
5.300000e+00,	
5.310000e+00,	
5.330000e+00,	
5.350000e+00,	
5.370000e+00,	
5.390000e+00,	
5.400000e+00,	
5.420000e+00,	
5.440000e+00,	
5.460000e+00,	
5.470000e+00,	
5.490000e+00,	
5.510000e+00,	
5.520000e+00,	
5.540000e+00,	
5.560000e+00,	
5.580000e+00,	
5.590000e+00,	
5.610000e+00,	
5.630000e+00,	
5.640000e+00,	
5.660000e+00,	
5.670000e+00,	
5.690000e+00,	
5.710000e+00,	
