-1.813013e-04,	-7.024075e-02,	2.618313e-04,	-9.065064e-05,	-3.512037e-02,	1.309157e-04,	-1.378414e+00,	-4.297540e-03,	-6.049406e-03,	
-2.141786e-04,	-7.024085e-02,	2.616870e-04,	-1.070893e-04,	-3.512043e-02,	1.308435e-04,	-2.756828e+00,	-8.595080e-03,	-1.209881e-02,	
-2.377791e-04,	-7.023629e-02,	2.655234e-04,	-1.188895e-04,	-3.511814e-02,	1.327617e-04,	-1.944710e-01,	-9.784956e-02,	-8.344594e-02,	
-1.673860e-04,	-7.023375e-02,	2.678054e-04,	-8.369299e-05,	-3.511687e-02,	1.339027e-04,	-1.378414e+00,	-4.298451e-03,	-6.115730e-03,	
1.049917e-04,	-7.019573e-02,	2.728034e-04,	5.249584e-05,	-3.509787e-02,	1.364017e-04,	1.004129e+01,	1.589537e+00,	2.034289e-01,	
3.444920e-04,	-7.015782e-02,	2.776555e-04,	1.722460e-04,	-3.507891e-02,	1.388278e-04,	-1.004129e+01,	-1.589537e+00,	-2.034289e-01,	
-1.345087e-04,	-7.023365e-02,	2.679513e-04,	-6.725434e-05,	-3.511682e-02,	1.339757e-04,	0.000000e+00,	0.000000e+00,	0.000000e+00,	
-1.345087e-04,	-7.023365e-02,	2.679513e-04,	-6.725434e-05,	-3.511682e-02,	1.339757e-04,	0.000000e+00,	0.000000e+00,	0.000000e+00,	
-1.673860e-04,	-7.023375e-02,	2.678054e-04,	-8.369299e-05,	-3.511687e-02,	1.339027e-04,	-1.378414e+00,	-4.298451e-03,	-6.115730e-03,	
-2.331406e-04,	-7.023395e-02,	2.675137e-04,	-1.165703e-04,	-3.511698e-02,	1.337569e-04,	0.000000e+00,	0.000000e+00,	0.000000e+00,	
-2.002633e-04,	-7.023385e-02,	2.676596e-04,	-1.001317e-04,	-3.511693e-02,	1.338298e-04,	-2.756827e+00,	-8.596902e-03,	-1.223146e-02,	
-2.638519e-04,	-7.023442e-02,	3.032592e-04,	-1.319260e-04,	-3.511721e-02,	1.516296e-04,	-5.422842e+00,	-3.261444e-02,	1.480318e+00,	
-2.945635e-04,	-7.023489e-02,	3.390552e-04,	-1.472817e-04,	-3.511745e-02,	1.695276e-04,	-1.084566e+01,	-6.518466e-02,	2.956408e+00,	
-4.239065e-04,	-7.023567e-02,	3.743126e-04,	-2.119532e-04,	-3.511784e-02,	1.871563e-04,	0.000000e+00,	0.000000e+00,	0.000000e+00,	
-2.527585e-04,	-7.021660e-02,	3.934938e-04,	-1.263792e-04,	-3.510830e-02,	1.967469e-04,	3.040339e+00,	7.867913e-01,	7.795011e-01,	
1.929102e-04,	-7.015916e-02,	4.154367e-04,	9.645512e-05,	-3.507958e-02,	2.077184e-04,	1.260441e+01,	8.348935e-01,	-6.385605e-01,	
7.604275e-04,	-7.008273e-02,	4.234486e-04,	3.802138e-04,	-3.504137e-02,	2.117243e-04,	-2.383753e+00,	-4.043278e-01,	-4.199229e-01,	
9.909612e-04,	-7.001235e-02,	4.645072e-04,	4.954806e-04,	-3.500618e-02,	2.322536e-04,	8.492100e+00,	1.525134e+00,	1.709967e-01,	
1.179009e-03,	-7.003600e-02,	4.752146e-04,	5.895047e-04,	-3.501800e-02,	2.376073e-04,	-1.007266e+01,	-2.209167e-01,	-2.551480e-01,	
9.408895e-04,	-7.004096e-02,	4.698952e-04,	4.704448e-04,	-3.502048e-02,	2.349476e-04,	-2.007330e+01,	-4.553733e+00,	-5.037072e-01,	
9.601414e-04,	-7.004483e-02,	3.947446e-04,	4.800707e-04,	-3.502241e-02,	1.973723e-04,	-5.443141e+00,	-4.652133e-02,	1.442735e+00,	
8.292141e-04,	-7.004704e-02,	4.285523e-04,	4.146071e-04,	-3.502352e-02,	2.142761e-04,	5.429954e+00,	3.140013e-02,	-1.450192e+00,	
