5.153869e-02,	-4.488758e-03,	9.881313e-324,	
5.148004e-02,	-4.135260e-03,	9.881313e-324,	
5.150257e-02,	-3.987401e-03,	9.881313e-324,	
5.171557e-02,	-3.725819e-03,	9.881313e-324,	
5.176198e-02,	-3.520766e-03,	9.881313e-324,	
5.210092e-02,	-3.828444e-03,	9.881313e-324,	
5.325534e-02,	-3.824109e-03,	9.881313e-324,	
5.367894e-02,	-3.598411e-03,	9.881313e-324,	
5.263076e-02,	-3.550822e-03,	9.881313e-324,	
5.262612e-02,	-3.413142e-03,	9.881313e-324,	
5.230127e-02,	-3.025942e-03,	9.881313e-324,	
5.131890e-02,	-2.923961e-03,	9.881313e-324,	
4.997877e-02,	-2.575829e-03,	9.881313e-324,	
4.999642e-02,	-3.318112e-03,	9.881313e-324,	
4.825760e-02,	-4.187075e-03,	9.881313e-324,	
4.819082e-02,	-4.396318e-03,	9.881313e-324,	
4.693978e-02,	-4.599923e-03,	9.881313e-324,	
5.079030e-02,	-5.517247e-03,	9.881313e-324,	
5.189264e-02,	-5.527238e-03,	9.881313e-324,	
5.254224e-02,	-5.676738e-03,	9.881313e-324,	
5.219748e-02,	-5.343939e-03,	9.881313e-324,	
5.109146e-02,	-4.579154e-03,	9.881313e-324,	
4.954052e-02,	-4.123501e-03,	9.881313e-324,	
4.885768e-02,	-4.235543e-03,	9.881313e-324,	
4.811968e-02,	-4.174755e-03,	9.881313e-324,	
4.750989e-02,	-4.109208e-03,	9.881313e-324,	
4.727535e-02,	-4.248258e-03,	9.881313e-324,	
4.802242e-02,	-4.338341e-03,	9.881313e-324,	
4.761251e-02,	-4.546869e-03,	9.881313e-324,	
4.764991e-02,	-4.889850e-03,	9.881313e-324,	
4.810388e-02,	-5.245606e-03,	9.881313e-324,	
4.760671e-02,	-5.173032e-03,	9.881313e-324,	
4.734743e-02,	-5.012669e-03,	9.881313e-324,	
4.787101e-02,	-5.023803e-03,	9.881313e-324,	
4.737861e-02,	-4.985282e-03,	9.881313e-324,	
4.686340e-02,	-4.772126e-03,	9.881313e-324,	
