COLUMNS: 
  time
  root_link:T:-X
  root_link:T:-Y
  root_link:T:Z
  root_link:R:-X:rad
  root_link:R:-Y:rad
  root_link:R:Z:rad
  l_hip_1:R:X:rad
  l_hip_2:R:-Z:rad
  l_upper_leg:R:Y:rad
  l_lower_leg:R:X:rad
  l_ankle_1:R:-X:rad
  l_ankle_2:R:-Z:rad
  r_hip_1:R:-X:rad
  r_hip_2:R:-Z:rad
  r_upper_leg:R:-Y:rad
  r_lower_leg:R:-X:rad
  r_ankle_1:R:X:rad
  r_ankle_2:R:-Z:rad
  torso_1:R:X:rad
  torso_2:R:-Z:rad
  chest:R:-Y:rad
  DATA:

5.900000e-02,	3.421380e-02,	5.050853e-03,	5.794804e-01,	-8.850921e-02,	4.359938e-01,	1.633660e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937483e-01,	-1.804591e-02,	7.851150e-01,	2.378544e-02,	1.486520e-01,	-6.772945e-01,	-3.336163e-01,	8.795673e-03,	-4.439498e-01,	-1.880186e-02,	1.479911e-01
6.000000e-02,	3.421380e-02,	5.050853e-03,	5.794804e-01,	-8.850921e-02,	4.359938e-01,	1.633660e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937483e-01,	-1.804591e-02,	7.851150e-01,	2.378544e-02,	1.486520e-01,	-6.772945e-01,	-3.336163e-01,	8.795673e-03,	-4.439498e-01,	-1.880186e-02,	1.479911e-01
6.100000e-02,	3.421380e-02,	5.050853e-03,	5.794804e-01,	-8.850921e-02,	4.359938e-01,	1.633660e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937483e-01,	-1.804591e-02,	7.851150e-01,	2.378544e-02,	1.486520e-01,	-6.772945e-01,	-3.336163e-01,	8.795673e-03,	-4.439498e-01,	-1.880186e-02,	1.479911e-01
6.200000e-02,	3.421380e-02,	5.050853e-03,	5.794804e-01,	-8.850921e-02,	4.359938e-01,	1.633660e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937483e-01,	-1.804591e-02,	7.851150e-01,	2.378544e-02,	1.486520e-01,	-6.772945e-01,	-3.336163e-01,	8.795673e-03,	-4.439498e-01,	-1.880186e-02,	1.479911e-01
6.300000e-02,	3.421380e-02,	5.050853e-03,	5.794804e-01,	-8.850921e-02,	4.359938e-01,	1.633660e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937483e-01,	-1.804591e-02,	7.851150e-01,	2.378544e-02,	1.486520e-01,	-6.772945e-01,	-3.336163e-01,	8.795673e-03,	-4.439498e-01,	-1.880186e-02,	1.479911e-01
6.400000e-02,	3.421280e-02,	5.050845e-03,	5.794804e-01,	-8.850920e-02,	4.359923e-01,	1.633659e-01,	8.454242e-01,	-2.416869e-02,	-1.505956e-01,	-6.971018e-01,	-2.937465e-01,	-1.804595e-02,	7.851158e-01,	2.378552e-02,	1.486520e-01,	-6.772950e-01,	-3.336146e-01,	8.795705e-03,	-4.439484e-01,	-1.880211e-02,	1.479912e-01
6.500000e-02,	3.421246e-02,	5.050848e-03,	5.794804e-01,	-8.850919e-02,	4.359918e-01,	1.633659e-01,	8.454244e-01,	-2.416872e-02,	-1.505957e-01,	-6.971019e-01,	-2.937459e-01,	-1.804595e-02,	7.851160e-01,	2.378555e-02,	1.486520e-01,	-6.772952e-01,	-3.336140e-01,	8.795703e-03,	-4.439478e-01,	-1.880220e-02,	1.479912e-01
6.600000e-02,	3.421234e-02,	5.050851e-03,	5.794804e-01,	-8.850919e-02,	4.359916e-01,	1.633659e-01,	8.454245e-01,	-2.416874e-02,	-1.505957e-01,	-6.971019e-01,	-2.937456e-01,	-1.804594e-02,	7.851161e-01,	2.378557e-02,	1.486520e-01,	-6.772953e-01,	-3.336138e-01,	8.795699e-03,	-4.439477e-01,	-1.880223e-02,	1.479912e-01
6.700000e-02,	3.421231e-02,	5.050852e-03,	5.794804e-01,	-8.850919e-02,	4.359915e-01,	1.633659e-01,	8.454245e-01,	-2.416874e-02,	-1.505957e-01,	-6.971020e-01,	-2.937456e-01,	-1.804594e-02,	7.851161e-01,	2.378557e-02,	1.486520e-01,	-6.772953e-01,	-3.336137e-01,	8.795696e-03,	-4.439476e-01,	-1.880224e-02,	1.479912e-01
6.800000e-02,	3.421229e-02,	5.050853e-03,	5.794804e-01,	-8.850919e-02,	4.359915e-01,	1.633659e-01,	8.454245e-01,	-2.416874e-02,	-1.505957e-01,	-6.971020e-01,	-2.937455e-01,	-1.804594e-02,	7.851161e-01,	2.378557e-02,	1.486520e-01,	-6.772953e-01,	-3.336137e-01,	8.795694e-03,	-4.439476e-01,	-1.880225e-02,	1.479912e-01
